code,tradeStatus,code_name
sh.603969,1,银龙股份
sh.603976,1,正川股份
sh.603978,1,深圳新星
sh.603980,1,吉华集团
sh.603983,1,丸美股份
sh.603986,1,兆易创新
sh.603988,1,中电电机
sh.603990,1,麦迪科技
sh.603992,1,松霖科技
sh.603995,1,甬金股份
sh.603997,1,继峰股份
sh.603999,1,读者传媒
sh.605003,1,众望布艺
sh.605008,1,长鸿高科
sh.605018,1,
sh.605066,1,天正电气
sh.605099,1,
sh.605108,1,同庆楼
sh.605116,1,
sh.605123,1,派克新材
sh.605136,1,
sh.605166,1,聚合顺
sh.605178,1,时空科技
sh.605198,1,德利股份
sh.605218,1,
sh.605255,1,天普股份
sh.605318,1,法狮龙
sh.605358,1,立昂微
sh.605369,1,拱东医疗
sh.605399,1,晨光新材
sh.688002,1,睿创微纳
sh.688004,1,博汇科技
sh.688006,1,杭可科技
sh.688008,1,澜起科技
sh.688010,1,福光股份
sh.688012,1,中微公司
sh.688015,1,交控科技
sh.688017,1,绿的谐波
sh.688019,1,安集科技
sh.688021,1,奥福环保
sh.688023,1,安恒信息
sh.688026,1,洁特生物
sh.688028,1,沃尔德
sh.688030,1,山石网科
sh.688036,1,传音控股
sh.688039,1,当虹科技
sh.688051,1,佳华科技
sh.688056,1,莱伯泰科
sh.688060,1,云涌科技
sh.688066,1,航天宏图
sh.688069,1,德林海
sh.688078,1,龙软科技
sh.688081,1,兴图新科
sh.688086,1,紫晶存储
sh.688089,1,嘉必优
sh.688093,1,
sh.688096,1,京源环保
sh.688099,1,晶晨股份
sh.688101,1,三达膜
sh.688108,1,赛诺医疗
sh.688116,1,天奈科技
sh.688122,1,西部超导
sh.688126,1,沪硅产业
sh.688128,1,中国电研
sh.688139,1,海尔生物
sh.688156,1,
sh.688158,1,优刻得
sh.688165,1,埃夫特
sh.688168,1,安博通
sh.688177,1,百奥泰
sh.688180,1,君实生物
sh.688185,1,康希诺
sh.688188,1,柏楚电子
sh.688196,1,卓越新能
sh.688199,1,久日新材
sh.688202,1,美迪西
sh.688215,1,瑞晟智能
sh.688222,1,成都先导
sh.688229,1,博睿数据
sh.688256,1,寒武纪
sh.688266,1,泽璟制药
sh.688277,1,天智航
sh.688286,1,敏芯股份
sh.688289,1,圣湘生物
sh.688299,1,长阳科技
sh.688301,1,奕瑞科技
sh.688310,1,迈得医疗
sh.688312,1,燕麦科技
sh.688318,1,财富趋势
sh.688333,1,铂力特
sh.688336,1,三生国健
sh.688339,1,亿华通
sh.688357,1,建龙微纳
sh.688360,1,德马科技
sh.688365,1,光云科技
sh.688368,1,晶丰明源
sh.688377,1,迪威尔
sh.688379,1,华光新材
sh.688389,1,普门科技
sh.688393,1,安必平
sh.688398,1,赛特新材
sh.688408,1,中信博
sh.688466,1,金科环境
sh.688500,1,慧辰资讯
sh.688508,1,芯朋微
sh.688516,1,奥特维
sh.688519,1,南亚新材
sh.688521,1,芯原股份
sh.688528,1,秦川物联
sh.688550,1,瑞联新材
sh.688555,1,泽达易盛
sh.688558,1,国盛智科
sh.688561,1,奇安信
sh.688567,1,孚能科技
sh.688569,1,铁科轨道
sh.688579,1,山大地纬
sh.688585,1,
sh.688588,1,凌志软件
sh.688595,1,
sh.688598,1,金博股份
sh.688600,1,皖仪科技
sz.000001,1,平安银行
sz.000004,1,国农科技
sz.000006,1,深振业A
sz.000008,1,神州高铁
sz.000010,1,美丽生态
sz.000012,1,南玻A
sz.000016,1,深康佳A
sz.000019,1,深粮控股
sz.000021,1,深科技
sz.000025,1,特力A
sz.000027,1,深圳能源
sz.000029,0,深深房A
sz.000031,1,大悦城
